country,year,gdp,population,unemployment,gdp_growth,gdp_per_capita,growth_category,decade,population_growth,gdp_category
Africa Eastern and Southern,1960,24205688712.3759,130075728.0,6.06402519158205,4.01863104412614,186.0892042239879,Medium,1960,0.0,Low GDP
Africa Eastern and Southern,1961,24958886027.4641,133534923.0,6.06402519158205,0.418937461020576,186.90905320298944,Low,1960,2.6593700863238645,Low GDP
Africa Eastern and Southern,1962,27073233856.5389,137171659.0,6.06402519158205,7.93703815148825,197.36754701303786,High,1960,2.7234343782861936,Low GDP
Africa Eastern and Southern,1963,31769135008.6453,140945536.0,6.06402519158205,5.62376362970625,225.40007942248914,High,1960,2.7512075216645115,Low GDP
Africa Eastern and Southern,1964,30279553206.6418,144904094.0,6.06402519158205,4.64924100146679,208.96271713787328,Medium,1960,2.8085728092871243,Low GDP
Africa Eastern and Southern,1965,33806176716.8471,149033472.0,6.06402519158205,5.13816803509262,226.83613461576672,High,1960,2.8497317681031253,Low GDP
Africa Eastern and Southern,1966,36927249593.1569,153281203.0,6.06402519158205,4.82742095506853,240.91179394747377,Medium,1960,2.8501858964944393,Low GDP
Africa Eastern and Southern,1967,38444163573.9168,157704381.0,6.06402519158205,5.33883947820595,243.77359290936124,High,1960,2.885662373096065,Low GDP
Africa Eastern and Southern,1968,41742001495.4024,162329396.0,6.06402519158205,4.15633428783231,257.1438231397251,Medium,1960,2.9327118058946056,Low GDP
Africa Eastern and Southern,1969,47048523178.8515,167088245.0,6.06402519158205,5.12158717544075,281.5788937088393,High,1960,2.93160026296162,Low GDP
Africa Eastern and Southern,1970,47593907819.7874,171984985.0,6.06402519158205,1.11251281717584,276.73292421304916,Low,1970,2.930631056661115,Low GDP
Africa Eastern and Southern,1971,52188685166.5557,177022314.0,6.06402519158205,5.48226397553549,294.814162052789,High,1970,2.9289353370004934,Low GDP
Africa Eastern and Southern,1972,56726057494.0768,182126556.0,6.06402519158205,2.76376404320553,311.4650534218458,Medium,1970,2.883389039869866,Low GDP
Africa Eastern and Southern,1973,73083598128.6821,187524135.0,6.06402519158205,4.621172092349,389.72902409965576,Medium,1970,2.963641941376194,Low GDP
Africa Eastern and Southern,1974,89535976340.3865,193186642.0,6.06402519158205,5.47238614419541,463.46877513604954,High,1970,3.019615048484292,Low GDP
Africa Eastern and Southern,1975,95295754526.8723,198914573.0,6.06402519158205,1.37454746747537,479.07879794645464,Low,1970,2.9649725988818654,Low GDP
Africa Eastern and Southern,1976,96006417139.9693,204802976.0,6.06402519158205,2.34985603389734,468.7745218114863,Medium,1970,2.9602672701109833,Low GDP
Africa Eastern and Southern,1977,109208244154.943,210680842.0,6.06402519158205,1.11027852130867,518.3586847205737,Low,1970,2.8700100529789108,Low GDP
Africa Eastern and Southern,1978,124083421003.115,217074286.0,6.06402519158205,1.48086468187634,571.6173172308165,Low,1970,3.0346584622060746,Low GDP
Africa Eastern and Southern,1979,142099959764.832,223974122.0,6.06402519158205,2.92796187333259,634.4481161302733,Medium,1970,3.1785598041768948,Low GDP
Africa Eastern and Southern,1980,178472295521.021,230792729.0,6.06402519158205,5.45218480068009,773.301205346989,High,1980,3.0443726887340983,Low GDP
Africa Eastern and Southern,1981,185108969364.767,238043099.0,6.06402519158205,3.92867241248305,777.6279595686451,Medium,1980,3.1415071139437867,Low GDP
Africa Eastern and Southern,1982,178355547527.525,245822010.0,6.06402519158205,0.308938009511749,725.5475110935957,Low,1980,3.267858229320053,Low GDP
Africa Eastern and Southern,1983,185755503030.119,253644643.0,6.06402519158205,0.0636059787264571,732.3454610871438,Low,1980,3.182234576960785,Low GDP
Africa Eastern and Southern,1984,170038515839.183,261458202.0,6.06402519158205,3.40563887072776,650.3468414396234,Medium,1980,3.0805141033473316,Low GDP
Africa Eastern and Southern,1985,149335153752.165,269450407.0,6.06402519158205,-0.0858651075100312,554.2212959142608,Low,1980,3.0567811370476816,Low GDP
Africa Eastern and Southern,1986,160553515127.741,277621771.0,6.06402519158205,2.27125178255353,578.317451651661,Medium,1980,3.0326040665434872,Low GDP
Africa Eastern and Southern,1987,190175229570.901,286067346.0,6.06402519158205,3.93855412464519,664.7918129421909,Medium,1980,3.0421155263071986,Low GDP
Africa Eastern and Southern,1988,207368870172.406,294498625.0,6.06402519158205,4.28639838629283,704.1420657648436,Medium,1980,2.9473056320101554,Low GDP
Africa Eastern and Southern,1989,220613390803.074,302939121.0,6.06402519158205,2.66604539363212,728.2433185744736,Medium,1980,2.8660561657970485,Low GDP
Africa Eastern and Southern,1990,256383050159.487,311748681.0,6.06402519158205,0.121363050873086,822.4029989063114,Low,1990,2.908029828210923,Low GDP
Africa Eastern and Southern,1991,276918502950.348,320442961.0,8.05080898877577,-0.106034110343302,864.1740860406917,Low,1990,2.7888746704913814,Low GDP
Africa Eastern and Southern,1992,241188307967.9,329082707.0,8.15827337351447,-2.3952835254757,732.9109152122661,Low,1990,2.6961884177571394,Low GDP
Africa Eastern and Southern,1993,239981176638.05,338324002.0,8.15590989808314,-0.839117754770186,709.3235337114804,Low,1990,2.8081983049932813,Low GDP
Africa Eastern and Southern,1994,243477534983.306,347441809.0,8.02210049864685,1.91965438780466,700.7721255080904,Low,1990,2.6949926538170965,Low GDP
Africa Eastern and Southern,1995,273327034187.587,356580375.0,7.77389399169686,4.35461769115784,766.5229310154464,Medium,1990,2.630243615845318,Low GDP
Africa Eastern and Southern,1996,273427612467.252,366138524.0,7.6816226939442,5.49911124792519,746.787334695357,High,1990,2.6805033787964394,Low GDP
Africa Eastern and Southern,1997,288270699674.414,375646235.0,7.64190636706094,3.85673898320249,767.3994115085807,Medium,1990,2.5967524247735296,Low GDP
Africa Eastern and Southern,1998,268728127688.21,385505757.0,7.68263780767572,1.7751720856126,697.0794153100287,Low,1990,2.624682768349862,Low GDP
Africa Eastern and Southern,1999,265321007618.974,395750933.0,7.72993010885893,2.63418427787336,670.4242125412096,Medium,1990,2.657593515523038,Low GDP
Africa Eastern and Southern,2000,287041984552.036,406156661.0,7.66876829683374,3.18137506041111,706.727260967009,Medium,2000,2.629362847263339,Low GDP
Africa Eastern and Southern,2001,260849957489.123,416807868.0,7.55388452430262,3.50353308518427,625.8278154411495,Medium,2000,2.6224380941520575,Low GDP
Africa Eastern and Southern,2002,269746009737.978,427820358.0,7.51149338877195,3.91711337379634,630.5123276484612,Medium,2000,2.6421022359395474,Low GDP
Africa Eastern and Southern,2003,358116081062.427,439173286.0,7.4720424200925,3.00937249317595,815.4322962677356,Medium,2000,2.6536670795829664,Low GDP
Africa Eastern and Southern,2004,445974808500.088,450928044.0,7.27852246959678,5.63469800866547,989.0154636292438,High,2000,2.6765648947053577,Low GDP
Africa Eastern and Southern,2005,521561976778.096,463076637.0,7.10041371887931,6.17365914390395,1126.297323391195,High,2000,2.694131172733183,Low GDP
Africa Eastern and Southern,2006,587500469826.421,475606210.0,7.03560059961336,6.63749738735714,1235.2666081177138,High,2000,2.705723415711847,Low GDP
Africa Eastern and Southern,2007,674999944547.619,488580707.0,6.98058891496815,6.70003329209791,1381.5525968928998,High,2000,2.7279915037274227,Low GDP
Africa Eastern and Southern,2008,726770401376.729,502070763.0,6.95926232871186,4.43752919445292,1447.5457543755222,Medium,2000,2.7610701377940305,Low GDP
Africa Eastern and Southern,2009,726921646144.603,516003448.0,7.02933493362019,0.919472850509038,1408.7534665942833,Low,2000,2.7750440827800205,Low GDP
Africa Eastern and Southern,2010,863822114606.332,530308387.0,7.33948885318777,5.30790438645938,1628.9052479313928,High,2010,2.7722564753094536,Low GDP
Africa Eastern and Southern,2011,959822476083.878,544737983.0,7.303350943492,4.07747696614018,1761.9892609615915,Medium,2010,2.7209820462447354,Low GDP
Africa Eastern and Southern,2012,969265729636.028,559609961.0,7.10873740350119,1.89717291956102,1732.038021453353,Low,2010,2.730115847273318,Low GDP
Africa Eastern and Southern,2013,981308886976.783,575202699.0,6.88972223038428,4.35668249727492,1706.022744126211,Medium,2010,2.7863581935061443,Low GDP
Africa Eastern and Southern,2014,998836162271.296,590968990.0,6.86242857576034,3.92038970191821,1690.166792459442,Medium,2010,2.74099739577196,Low GDP
Africa Eastern and Southern,2015,910002035578.038,607123269.0,6.9309412585873,2.93402965863687,1498.8752400758963,Medium,2010,2.733523970521712,Low GDP
Africa Eastern and Southern,2016,831868076442.431,623369401.0,7.07442880999326,2.13011703002091,1334.4705003292759,Medium,2010,2.6759198386118843,Low GDP
Africa Eastern and Southern,2017,978076465866.452,640058741.0,7.21491501896869,2.67752389715308,1528.1042242128399,Medium,2010,2.6772793103458703,Low GDP
Africa Eastern and Southern,2018,1020955778298.17,657801085.0,7.24484282680541,2.70519413363353,1552.0737219491969,Medium,2010,2.771986829252593,Low GDP
Africa Eastern and Southern,2019,1018714795912.35,675950189.0,7.45910636823544,2.03007686221603,1507.0855996348423,Medium,2010,2.7590565619088236,Low GDP
Africa Eastern and Southern,2020,938607563405.087,694446100.0,7.97430164130982,-2.81757208724623,1351.5916691087862,Low,2020,2.736283131655437,Low GDP
Africa Eastern and Southern,2021,1114144799994.21,713090928.0,8.40741154700022,4.57877206871177,1562.416174777377,Medium,2020,2.6848488313203855,Low GDP
Africa Eastern and Southern,2022,1228967879390.01,731821393.0,7.86947018999245,3.72271692296214,1679.327621664662,Medium,2020,2.626658714132457,Low GDP
Africa Eastern and Southern,2023,1179359054880.45,750491370.0,7.67654773372157,1.9311603523693,1571.4491891898103,Low,2020,2.5511657869777604,Low GDP
Africa Eastern and Southern,2024,1242693542929.85,769280888.0,7.57169749274654,2.76383869054277,1615.396355628492,Medium,2020,2.5036287892291176,Low GDP
Africa Western and Central,1960,11904805741.6831,97630925.0,6.06402519158205,4.01863104412614,121.93683242971528,Medium,1960,0.0,Low GDP
Africa Western and Central,1961,12707719290.6273,99706674.0,6.06402519158205,1.86959316017396,127.45103994369825,Low,1960,2.1261183380163695,Low GDP
Africa Western and Central,1962,13630588814.3032,101854756.0,6.06402519158205,3.7260900517994,133.8237834893365,Medium,1960,2.1544014195077787,Low GDP
Africa Western and Central,1963,14468913698.0467,104089175.0,6.06402519158205,7.03838826668665,139.00498008603392,High,1960,2.193730649160841,Low GDP
Africa Western and Central,1964,15803564796.4118,106388440.0,6.06402519158205,5.36408884111172,148.54588333480405,High,1960,2.2089376729136356,Low GDP
Africa Western and Central,1965,16920876929.6607,108772632.0,6.06402519158205,4.10533915696456,155.56189657763085,Medium,1960,2.241025434718291,Low GDP
Africa Western and Central,1966,18033947666.935,111246953.0,6.06402519158205,-1.51301102587755,162.10734029663718,Low,1960,2.2747642991667316,Low GDP
Africa Western and Central,1967,16493541543.816,113795019.0,6.06402519158205,-8.96670301203729,144.94080398910958,Low,1960,2.2904591373392513,Low GDP
Africa Western and Central,1968,17022596883.7037,116444636.0,6.06402519158205,1.57430332261983,146.18618313774195,Low,1960,2.3284121073875896,Low GDP
Africa Western and Central,1969,19301191937.1478,119203521.0,6.06402519158205,15.0170241159219,161.91796832199108,High,1960,2.369267571930056,Low GDP
Africa Western and Central,1970,26696924213.8055,122086536.0,6.06402519158205,17.3093315334455,218.67214099518313,High,1970,2.4185653039560773,Low GDP
Africa Western and Central,1971,24496786001.8079,125072948.0,6.06402519158205,10.407374862086,195.85998725965825,High,1970,2.446143610790963,Low GDP
Africa Western and Central,1972,29489425515.7538,128176494.0,6.06402519158205,3.16736906313275,230.06890417640693,Medium,1970,2.4813887012561597,Low GDP
Africa Western and Central,1973,36890633234.1126,131449942.0,6.06402519158205,3.92210843504117,280.64396737514426,Medium,1970,2.553859836422112,Low GDP
Africa Western and Central,1974,49687223643.2392,134911581.0,6.06402519158205,9.91590496752517,368.29472514475384,High,1970,2.633427559823498,Low GDP
Africa Western and Central,1975,57280116275.6847,138569918.0,6.06402519158205,-2.01383191958593,413.3661699625506,Low,1970,2.711655272945035,Low GDP
Africa Western and Central,1976,68385552348.1688,142337272.0,6.06402519158205,8.42212205693677,480.4472601397672,High,1970,2.7187387092197035,Low GDP
Africa Western and Central,1977,71789497552.1911,146258576.0,6.06402519158205,4.56126630242468,490.8395768340525,Medium,1970,2.754938284892794,Low GDP
Africa Western and Central,1978,78778080489.5676,150402616.0,6.06402519158205,-1.91530595482713,523.7813183353645,Low,1970,2.8333654773173844,Low GDP
Africa Western and Central,1979,96681064864.1808,154721711.0,6.06402519158205,5.03083922730157,624.8707065046663,High,1970,2.8716887477542308,Low GDP
Africa Western and Central,1980,121445961252.94,159166518.0,6.06402519158205,1.86850574363429,763.0119875647465,Low,1980,2.872775237083558,Low GDP
Africa Western and Central,1981,217606540487.256,163762473.0,6.06402519158205,-6.64079305023681,1328.7936882050872,Low,1980,2.887513691792898,Low GDP
Africa Western and Central,1982,196264853551.918,168585118.0,6.06402519158205,-3.27063665913894,1164.1884875740811,Low,1980,2.944902401418914,Low GDP
Africa Western and Central,1983,151421439334.1,173255157.0,6.06402519158205,-6.2895899443099,873.9794067665184,Low,1980,2.770137160030939,Low GDP
Africa Western and Central,1984,131373058519.308,177880746.0,6.06402519158205,0.483812645662198,738.5456912762667,Low,1980,2.6698131704097072,Low GDP
Africa Western and Central,1985,138005066699.39,182811038.0,6.06402519158205,5.31996313461305,754.9055473301892,High,1980,2.7716839010783145,Low GDP
